Timestamp,First name,Last name,Email,Are you 21 or older?,Have you joined our Discord server?,How much music experience do you have?,What is your primary instrument? (Check all that apply),What other instruments can you play? (Check all that apply),What musical skills do you have? (Check all that apply),What genres are you most comfortable playing (Check all that apply),Are you open to playing genres outside of your normal playing style?,What portable instruments (and supporting equipment) do you have access to? (Check all that apply),"What equipment, if any, are you willing to share with your bandmates for the duration of the event?",Do you have skills in mixing music AND do you want to mix music for this event?,"Would you like to be both a performer and producer, or focus primarily on production?","If this event is short on producers, would you be open to producing for additional teams?","Finally, do you understand that many bands may not have access to recording equipment?",Are you willing to be a humble listener and/or a patient mentor regardless if you are a veteran musician or have ZERO musical background?,How open are you to showcasing your work to an audience?,Do you have reliable transportation to meet your band and attend the required in-person portions of the event?,What hours are you free during the 48-hour event? (Check all that apply),Are you committed to being a reliable bandmate for the full 48 hours of this event?,Have you purchased your event ticket?,Anything else we should know about your hopes and expectations?,Source row,Expected import status,Expected issue category,Expected matching profile
03/01/2027 09:10:00,Keaton,Ashby,participant011@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,Guitar,"Drums, Vocals","Live performance, Beat making","Country, Classical",Yes,DI box,,Yes,performer and producer,Yes,Yes,Yes,Open,Yes,"Saturday evening, Sunday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 011.,12,eligible,none,performer-producer
03/01/2027 09:11:00,Linden,Ashby,participant012@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Bass,"Keyboard, Saxophone","Arranging, Sight reading","Alternative, Experimental",Yes,Microphone,,No,performer,No,Yes,Yes,Somewhat open,Yes,"Sunday morning, Sunday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 012.,13,eligible,none,newer
03/01/2027 09:12:00,Maren,Ashby,participant013@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,None - I can clap my hands and hum a catchy tune.,"Drums, DJ controller","Vocals, Violin","Songwriting, Recording","Gospel, Rock",No,Small keyboard,Small keyboard,No,performer,No,Yes,Yes,Very open,Yes,"Sunday afternoon, Friday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 013.,14,eligible,none,multi-instrumentalist
03/01/2027 09:13:00,Nico,Ashby,participant014@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Beginner - I know the fundamentals of my instrument.,Keyboard,"Saxophone, Trumpet","Improvisation, Harmony","Classical, Indie",Yes,Guitar amp,,No,performer,No,Yes,Yes,Open,Yes,"Sunday evening, Saturday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 014.,15,eligible,none,newer
03/01/2027 09:14:00,Opal,Ashby,participant015@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,Vocals,"Violin, DJ controller","Live performance, Beat making","Experimental, R&B",Yes,Portable recorder,,No,performer,No,Yes,Yes,Somewhat open,Yes,"Friday evening, Saturday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 015.,16,eligible,none,producer-only
03/01/2027 09:15:00,Parker,Ashby,participant016@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Saxophone,"Trumpet, Cello","Arranging, Sight reading","Rock, Hip-hop",No,DI box,,No,performer,No,Yes,Yes,Very open,Yes,"Saturday morning, Saturday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 016.,17,eligible,none,mentor
03/01/2027 09:16:00,Quincy,Ashby,participant017@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,None - I can clap my hands and hum a catchy tune.,"Violin, Vocals","DJ controller, Guitar","Songwriting, Recording","Indie, Pop",Yes,Microphone,Microphone,No,performer,No,Yes,Yes,Open,Yes,"Saturday afternoon, Sunday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 017.,18,eligible,none,multi-instrumentalist
03/01/2027 09:17:00,Remy,Ashby,participant018@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Beginner - I know the fundamentals of my instrument.,Trumpet,"Cello, Bass","Improvisation, Harmony","R&B, Jazz",Yes,Small keyboard,,No,performer,No,Yes,Yes,Somewhat open,Yes,"Saturday evening, Sunday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 018.,19,eligible,none,newer
03/01/2027 09:18:00,Sage,Ashby,participant019@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,DJ controller,"Guitar, Drums","Live performance, Beat making","Hip-hop, Funk",No,Guitar amp,,No,performer,No,Yes,Yes,Very open,Yes,"Sunday morning, Sunday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 019.,20,eligible,none,newer
03/01/2027 09:19:00,Tobin,Ashby,participant020@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Cello,"Bass, Keyboard","Arranging, Sight reading","Pop, Soul",Yes,Portable recorder,,No,performer,No,Yes,Yes,Open,Yes,"Sunday afternoon, Friday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 020.,21,eligible,none,newer
03/01/2027 09:20:00,Uma,Ashby,participant021@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,None - I can clap my hands and hum a catchy tune.,"Guitar, Vocals","Drums, Vocals","Songwriting, Recording","Jazz, Electronic",Yes,DI box,DI box,Yes,performer and producer,Yes,Yes,Yes,Somewhat open,Yes,"Sunday evening, Saturday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 021.,22,eligible,none,performer-producer
03/01/2027 09:21:00,Vale,Ashby,participant022@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Beginner - I know the fundamentals of my instrument.,Bass,"Keyboard, Saxophone","Improvisation, Harmony","Funk, Folk",No,Microphone,,No,performer,No,Yes,Yes,Very open,Yes,"Friday evening, Saturday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 022.,23,eligible,none,producer-only
03/01/2027 09:22:00,Wren,Ashby,participant023@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,Drums,"Vocals, Violin","Live performance, Beat making","Soul, Country",Yes,Small keyboard,,No,performer,No,Yes,Yes,Open,Yes,"Saturday morning, Saturday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 023.,24,eligible,none,newer
03/01/2027 09:23:00,Xena,Ashby,participant024@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Keyboard,"Saxophone, Trumpet","Arranging, Sight reading","Electronic, Alternative",Yes,Guitar amp,,No,performer,No,Yes,Yes,Somewhat open,Yes,"Saturday afternoon, Sunday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 024.,25,eligible,none,newer
03/01/2027 09:24:00,Yara,Ashby,participant025@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,None - I can clap my hands and hum a catchy tune.,"Keyboard, Vocals","Violin, DJ controller","Songwriting, Recording","Folk, Gospel",No,Portable recorder,Portable recorder,No,performer,No,Yes,Yes,Very open,Yes,"Saturday evening, Sunday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 025.,26,eligible,none,multi-instrumentalist
03/01/2027 09:25:00,Zane,Ashby,participant026@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Beginner - I know the fundamentals of my instrument.,Saxophone,"Trumpet, Cello","Improvisation, Harmony","Country, Classical",Yes,DI box,,No,performer,No,Yes,Yes,Open,Yes,"Sunday morning, Sunday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 026.,27,eligible,none,mentor
03/01/2027 09:26:00,Ainsley,Ashby,participant027@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,Violin,"DJ controller, Guitar","Live performance, Beat making","Alternative, Experimental",Yes,Microphone,,No,performer,No,Yes,Yes,Somewhat open,Yes,"Sunday afternoon, Friday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 027.,28,eligible,none,newer
03/01/2027 09:27:00,Bellamy,Ashby,participant028@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Trumpet,"Cello, Bass","Arranging, Sight reading","Gospel, Rock",No,Small keyboard,,No,performer,No,Yes,Yes,Very open,Yes,"Sunday evening, Saturday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 028.,29,eligible,none,newer
03/01/2027 09:28:00,Cedar,Ashby,participant029@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,None - I can clap my hands and hum a catchy tune.,"Bass, Guitar","Guitar, Drums","Songwriting, Recording","Classical, Indie",Yes,Guitar amp,Guitar amp,No,performer,No,Yes,Yes,Open,Yes,"Friday evening, Saturday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 029.,30,eligible,none,producer-only
03/01/2027 09:29:00,Delaney,Ashby,participant030@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Beginner - I know the fundamentals of my instrument.,Cello,"Bass, Keyboard","Improvisation, Harmony","Experimental, R&B",Yes,Portable recorder,,No,performer,No,Yes,Yes,Somewhat open,Yes,"Saturday morning, Saturday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 030.,31,eligible,none,newer
03/01/2027 09:30:00,Arden,Bexley,participant031@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,Guitar,"Drums, Vocals","Live performance, Beat making","Rock, Hip-hop",No,DI box,,Yes,performer and producer,Yes,Yes,Yes,Very open,Yes,"Saturday afternoon, Sunday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 031.,32,eligible,none,performer-producer
03/01/2027 09:31:00,Briar,Bexley,participant032@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Bass,"Keyboard, Saxophone","Arranging, Sight reading","Indie, Pop",Yes,Microphone,,No,performer,No,Yes,Yes,Open,Yes,"Saturday evening, Sunday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 032.,33,eligible,none,newer
03/01/2027 09:32:00,Calla,Bexley,participant033@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,None - I can clap my hands and hum a catchy tune.,"Drums, DJ controller","Vocals, Violin","Songwriting, Recording","R&B, Jazz",Yes,Small keyboard,Small keyboard,No,performer,No,Yes,Yes,Somewhat open,Yes,"Sunday morning, Sunday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 033.,34,eligible,none,multi-instrumentalist
03/01/2027 09:33:00,Dorian,Bexley,participant034@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Beginner - I know the fundamentals of my instrument.,Keyboard,"Saxophone, Trumpet","Improvisation, Harmony","Hip-hop, Funk",No,Guitar amp,,No,performer,No,Yes,Yes,Very open,Yes,"Sunday afternoon, Friday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 034.,35,eligible,none,newer
03/01/2027 09:34:00,Elara,Bexley,participant035@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,Vocals,"Violin, DJ controller","Live performance, Beat making","Pop, Soul",Yes,Portable recorder,,No,performer,No,Yes,Yes,Open,Yes,"Sunday evening, Saturday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 035.,36,eligible,none,newer
03/01/2027 09:35:00,Finley,Bexley,participant036@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Saxophone,"Trumpet, Cello","Arranging, Sight reading","Jazz, Electronic",Yes,DI box,,No,performer,No,Yes,Yes,Somewhat open,Yes,"Friday evening, Saturday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 036.,37,eligible,none,producer-only
03/01/2027 09:36:00,Greer,Bexley,participant037@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,None - I can clap my hands and hum a catchy tune.,"Violin, Vocals","DJ controller, Guitar","Songwriting, Recording","Funk, Folk",No,Microphone,Microphone,No,performer,No,Yes,Yes,Very open,Yes,"Saturday morning, Saturday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 037.,38,eligible,none,multi-instrumentalist
03/01/2027 09:37:00,Hollis,Bexley,participant038@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Beginner - I know the fundamentals of my instrument.,Trumpet,"Cello, Bass","Improvisation, Harmony","Soul, Country",Yes,Small keyboard,,No,performer,No,Yes,Yes,Open,Yes,"Saturday afternoon, Sunday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 038.,39,eligible,none,newer
03/01/2027 09:38:00,Indigo,Bexley,participant039@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,DJ controller,"Guitar, Drums","Live performance, Beat making","Electronic, Alternative",Yes,Guitar amp,,No,performer,No,Yes,Yes,Somewhat open,Yes,"Saturday evening, Sunday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 039.,40,eligible,none,newer
03/01/2027 09:39:00,Jules,Bexley,participant040@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Cello,"Bass, Keyboard","Arranging, Sight reading","Folk, Gospel",No,Portable recorder,,No,performer,No,Yes,Yes,Very open,Yes,"Sunday morning, Sunday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 040.,41,eligible,none,newer
03/01/2027 09:40:00,Keaton,Bexley,participant041@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,None - I can clap my hands and hum a catchy tune.,"Guitar, Vocals","Drums, Vocals","Songwriting, Recording","Country, Classical",Yes,DI box,DI box,Yes,performer and producer,Yes,Yes,Yes,Open,Yes,"Sunday afternoon, Friday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 041.,42,eligible,none,performer-producer
03/01/2027 09:41:00,Linden,Bexley,participant042@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Beginner - I know the fundamentals of my instrument.,Bass,"Keyboard, Saxophone","Improvisation, Harmony","Alternative, Experimental",Yes,Microphone,,No,performer,No,Yes,Yes,Somewhat open,Yes,"Sunday evening, Saturday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 042.,43,eligible,none,newer
03/01/2027 09:42:00,Maren,Bexley,participant043@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,Drums,"Vocals, Violin","Live performance, Beat making","Gospel, Rock",No,Small keyboard,,No,performer,No,Yes,Yes,Very open,Yes,"Friday evening, Saturday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 043.,44,eligible,none,producer-only
03/01/2027 09:43:00,Nico,Bexley,participant044@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Keyboard,"Saxophone, Trumpet","Arranging, Sight reading","Classical, Indie",Yes,Guitar amp,,No,performer,No,Yes,Yes,Open,Yes,"Saturday morning, Saturday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 044.,45,eligible,none,newer
03/01/2027 09:44:00,Opal,Bexley,participant045@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,None - I can clap my hands and hum a catchy tune.,"Keyboard, Vocals","Violin, DJ controller","Songwriting, Recording","Experimental, R&B",Yes,Portable recorder,Portable recorder,No,performer,No,Yes,Yes,Somewhat open,Yes,"Saturday afternoon, Sunday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 045.,46,eligible,none,multi-instrumentalist
03/01/2027 09:45:00,Parker,Bexley,participant046@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Beginner - I know the fundamentals of my instrument.,Saxophone,"Trumpet, Cello","Improvisation, Harmony","Rock, Hip-hop",No,DI box,,No,performer,No,Yes,Yes,Very open,Yes,"Saturday evening, Sunday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 046.,47,eligible,none,mentor
03/01/2027 09:46:00,Quincy,Bexley,participant047@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,Violin,"DJ controller, Guitar","Live performance, Beat making","Indie, Pop",Yes,Microphone,,No,performer,No,Yes,Yes,Open,Yes,"Sunday morning, Sunday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 047.,48,eligible,none,newer
03/01/2027 09:47:00,Remy,Bexley,participant048@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Trumpet,"Cello, Bass","Arranging, Sight reading","R&B, Jazz",Yes,Small keyboard,,No,performer,No,Yes,Yes,Somewhat open,Yes,"Sunday afternoon, Friday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 048.,49,eligible,none,newer
03/01/2027 09:48:00,Sage,Bexley,participant049@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,None - I can clap my hands and hum a catchy tune.,"Bass, Guitar","Guitar, Drums","Songwriting, Recording","Hip-hop, Funk",No,Guitar amp,Guitar amp,No,performer,No,Yes,Yes,Very open,Yes,"Sunday evening, Saturday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 049.,50,eligible,none,multi-instrumentalist
03/01/2027 09:49:00,Tobin,Bexley,participant050@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Beginner - I know the fundamentals of my instrument.,Cello,"Bass, Keyboard","Improvisation, Harmony","Pop, Soul",Yes,Portable recorder,,No,performer,No,Yes,Yes,Open,Yes,"Friday evening, Saturday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 050.,51,eligible,none,producer-only
03/01/2027 09:50:00,Uma,Bexley,participant051@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,Guitar,"Drums, Vocals","Live performance, Beat making","Jazz, Electronic",Yes,DI box,,Yes,performer and producer,Yes,Yes,Yes,Somewhat open,Yes,"Saturday morning, Saturday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 051.,52,eligible,none,performer-producer
03/01/2027 09:51:00,Vale,Bexley,participant052@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Bass,"Keyboard, Saxophone","Arranging, Sight reading","Funk, Folk",No,Microphone,,No,performer,No,Yes,Yes,Very open,Yes,"Saturday afternoon, Sunday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 052.,53,eligible,none,newer
03/01/2027 09:52:00,Wren,Bexley,participant053@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,None - I can clap my hands and hum a catchy tune.,"Drums, DJ controller","Vocals, Violin","Songwriting, Recording","Soul, Country",Yes,Small keyboard,Small keyboard,No,performer,No,Yes,Yes,Open,Yes,"Saturday evening, Sunday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 053.,54,eligible,none,multi-instrumentalist
03/01/2027 09:53:00,Xena,Bexley,participant054@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Beginner - I know the fundamentals of my instrument.,Keyboard,"Saxophone, Trumpet","Improvisation, Harmony","Electronic, Alternative",Yes,Guitar amp,,No,performer,No,Yes,Yes,Somewhat open,Yes,"Sunday morning, Sunday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 054.,55,eligible,none,newer
03/01/2027 09:54:00,Yara,Bexley,participant055@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,Vocals,"Violin, DJ controller","Live performance, Beat making","Folk, Gospel",No,Portable recorder,,No,performer,No,Yes,Yes,Very open,Yes,"Sunday afternoon, Friday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 055.,56,eligible,none,newer
03/01/2027 09:55:00,Zane,Bexley,participant056@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Saxophone,"Trumpet, Cello","Arranging, Sight reading","Country, Classical",Yes,DI box,,No,performer,No,Yes,Yes,Open,Yes,"Sunday evening, Saturday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 056.,57,eligible,none,mentor
03/01/2027 09:56:00,Ainsley,Bexley,participant057@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,None - I can clap my hands and hum a catchy tune.,"Violin, Vocals","DJ controller, Guitar","Songwriting, Recording","Alternative, Experimental",Yes,Microphone,Microphone,No,performer,No,Yes,Yes,Somewhat open,Yes,"Friday evening, Saturday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 057.,58,eligible,none,producer-only
03/01/2027 09:57:00,Bellamy,Bexley,participant058@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Beginner - I know the fundamentals of my instrument.,Trumpet,"Cello, Bass","Improvisation, Harmony","Gospel, Rock",No,Small keyboard,,No,performer,No,Yes,Yes,Very open,Yes,"Saturday morning, Saturday evening",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 058.,59,eligible,none,newer
03/01/2027 09:58:00,Cedar,Bexley,participant059@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Intermediate - I can write some decent songs.,DJ controller,"Guitar, Drums","Live performance, Beat making","Classical, Indie",Yes,Guitar amp,,No,performer,No,Yes,Yes,Open,Yes,"Saturday afternoon, Sunday morning",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 059.,60,eligible,none,newer
03/01/2027 09:59:00,Delaney,Bexley,participant060@jamstock.test,Yes (or I will be by the date of the event on 1/1/2027),Yes,Advanced - I am very good at my primary instrument.,Cello,"Bass, Keyboard","Arranging, Sight reading","Experimental, R&B",Yes,Portable recorder,,No,performer,No,Yes,Yes,Somewhat open,Yes,"Saturday evening, Sunday afternoon",Yes,Yes,Excited to collaborate and learn from RVA musicians. Fictional response 060.,61,eligible,none,newer
